Time,BAHADURABAD
2022-01-01 00:00:00+00:00,27.4
2022-01-02 00:00:00+00:00,25.9
2022-01-03 00:00:00+00:00,21.4
2022-01-04 00:00:00+00:00,19.5
2022-01-05 00:00:00+00:00,27.2
2022-01-06 00:00:00+00:00,31.55
2022-01-07 00:00:00+00:00,56.8
2022-01-08 00:00:00+00:00,87.3
2022-01-09 00:00:00+00:00,129.0
2022-01-10 00:00:00+00:00,139.0
2022-01-11 00:00:00+00:00,63.0
2022-01-12 00:00:00+00:00,32.6
2022-01-13 00:00:00+00:00,26.2
2022-01-14 00:00:00+00:00,22.5
2022-01-15 00:00:00+00:00,20.8
2022-01-16 00:00:00+00:00,19.5
2022-01-17 00:00:00+00:00,27.4
2022-01-18 00:00:00+00:00,45.2
2022-01-19 00:00:00+00:00,75.7
2022-01-20 00:00:00+00:00,77.2
2022-01-21 00:00:00+00:00,69.7
2022-01-22 00:00:00+00:00,123.0
2022-01-23 00:00:00+00:00,52.7
2022-01-24 00:00:00+00:00,28.7
2022-01-25 00:00:00+00:00,23.9
2022-01-26 00:00:00+00:00,23.1
2022-01-27 00:00:00+00:00,19.2
2022-01-28 00:00:00+00:00,19.0
2022-01-29 00:00:00+00:00,21.0
2022-01-30 00:00:00+00:00,48.7
2022-01-31 00:00:00+00:00,64.0
2022-02-01 00:00:00+00:00,116.0
2022-02-02 00:00:00+00:00,159.0
2022-02-03 00:00:00+00:00,148.0
2022-02-04 00:00:00+00:00,108.0
2022-02-05 00:00:00+00:00,36.7
2022-02-06 00:00:00+00:00,22.41
2022-02-07 00:00:00+00:00,22.51
2022-02-08 00:00:00+00:00,17.43
2022-02-09 00:00:00+00:00,15.79
2022-02-10 00:00:00+00:00,19.72
2022-02-11 00:00:00+00:00,44.03
2022-02-12 00:00:00+00:00,58.13
2022-02-13 00:00:00+00:00,88.26
2022-02-14 00:00:00+00:00,122.04
2022-02-15 00:00:00+00:00,100.59
2022-02-16 00:00:00+00:00,56.84
2022-02-17 00:00:00+00:00,28.93
2022-02-18 00:00:00+00:00,20.55
2022-02-19 00:00:00+00:00,20.77
2022-02-20 00:00:00+00:00,16.54
2022-02-21 00:00:00+00:00,19.99
2022-02-22 00:00:00+00:00,26.02
2022-02-23 00:00:00+00:00,28.86
2022-02-24 00:00:00+00:00,38.55
2022-02-25 00:00:00+00:00,112.43
2022-02-26 00:00:00+00:00,173.71
2022-02-27 00:00:00+00:00,123.9
2022-02-28 00:00:00+00:00,67.84
2022-03-01 00:00:00+00:00,33.29
2022-03-02 00:00:00+00:00,22.38
2022-03-03 00:00:00+00:00,22.21
2022-03-04 00:00:00+00:00,17.06
2022-03-05 00:00:00+00:00,14.61
2022-03-06 00:00:00+00:00,11.8
2022-03-07 00:00:00+00:00,13.45
2022-03-08 00:00:00+00:00,22.92
2022-03-09 00:00:00+00:00,79.48
2022-03-10 00:00:00+00:00,162.63
2022-03-11 00:00:00+00:00,159.52
2022-03-12 00:00:00+00:00,96.62
2022-03-13 00:00:00+00:00,39.14
2022-03-14 00:00:00+00:00,23.28
2022-03-15 00:00:00+00:00,19.46
2022-03-16 00:00:00+00:00,16.18
2022-03-17 00:00:00+00:00,16.65
2022-03-18 00:00:00+00:00,33.8
2022-03-19 00:00:00+00:00,38.14
2022-03-20 00:00:00+00:00,38.57
2022-03-21 00:00:00+00:00,58.14
2022-03-22 00:00:00+00:00,90.43
2022-03-23 00:00:00+00:00,121.97
2022-03-24 00:00:00+00:00,82.38
2022-03-25 00:00:00+00:00,35.28
2022-03-26 00:00:00+00:00,20.92
2022-03-27 00:00:00+00:00,20.86
2022-03-28 00:00:00+00:00,16.77
2022-03-29 00:00:00+00:00,19.22
2022-03-30 00:00:00+00:00,34.58
2022-03-31 00:00:00+00:00,40.63
2022-04-01 00:00:00+00:00,31.01
2022-04-02 00:00:00+00:00,51.75
2022-04-03 00:00:00+00:00,109.89
2022-04-04 00:00:00+00:00,137.52
2022-04-05 00:00:00+00:00,98.01
2022-04-06 00:00:00+00:00,43.53
2022-04-07 00:00:00+00:00,25.73
2022-04-08 00:00:00+00:00,22.97
2022-04-09 00:00:00+00:00,17.86
2022-04-10 00:00:00+00:00,16.19
2022-04-11 00:00:00+00:00,13.49
2022-04-12 00:00:00+00:00,15.9
2022-04-13 00:00:00+00:00,23.45
2022-04-14 00:00:00+00:00,107.47
2022-04-15 00:00:00+00:00,215.16
2022-04-16 00:00:00+00:00,183.41
2022-04-17 00:00:00+00:00,93.37
2022-04-18 00:00:00+00:00,38.81
