Time,BAHADURABAD
2022-01-01T00:00:00.000000+0000,12.774
2022-01-02T00:00:00.000000+0000,16.623
2022-01-03T00:00:00.000000+0000,14.757
2022-01-04T00:00:00.000000+0000,12.052
2022-01-05T00:00:00.000000+0000,47.730
2022-01-06T00:00:00.000000+0000,61.903
2022-01-07T00:00:00.000000+0000,84.345
2022-01-08T00:00:00.000000+0000,124.299
2022-01-09T00:00:00.000000+0000,159.660
2022-01-10T00:00:00.000000+0000,132.721
2022-01-11T00:00:00.000000+0000,91.337
2022-01-12T00:00:00.000000+0000,59.022
2022-01-13T00:00:00.000000+0000,41.027
2022-01-14T00:00:00.000000+0000,31.766
2022-01-15T00:00:00.000000+0000,23.684
2022-01-16T00:00:00.000000+0000,19.038
2022-01-17T00:00:00.000000+0000,33.105
2022-01-18T00:00:00.000000+0000,50.332
2022-01-19T00:00:00.000000+0000,89.803
2022-01-20T00:00:00.000000+0000,90.628
2022-01-21T00:00:00.000000+0000,125.378
2022-01-22T00:00:00.000000+0000,117.887
2022-01-23T00:00:00.000000+0000,81.292
2022-01-24T00:00:00.000000+0000,50.793
2022-01-25T00:00:00.000000+0000,37.343
2022-01-26T00:00:00.000000+0000,28.678
2022-01-27T00:00:00.000000+0000,21.022
2022-01-28T00:00:00.000000+0000,15.856
2022-01-29T00:00:00.000000+0000,35.868
2022-01-30T00:00:00.000000+0000,86.129
2022-01-31T00:00:00.000000+0000,100.779
2022-02-01T00:00:00.000000+0000,133.919
2022-02-02T00:00:00.000000+0000,172.099
2022-02-03T00:00:00.000000+0000,143.912
2022-02-04T00:00:00.000000+0000,91.931
2022-02-05T00:00:00.000000+0000,58.596
2022-02-06T00:00:00.000000+0000,41.988
2022-02-07T00:00:00.000000+0000,31.900
2022-02-08T00:00:00.000000+0000,23.678
2022-02-09T00:00:00.000000+0000,17.097
2022-02-10T00:00:00.000000+0000,41.583
2022-02-11T00:00:00.000000+0000,66.470
2022-02-12T00:00:00.000000+0000,107.223
2022-02-13T00:00:00.000000+0000,115.503
2022-02-14T00:00:00.000000+0000,121.026
2022-02-15T00:00:00.000000+0000,104.655
2022-02-16T00:00:00.000000+0000,76.087
2022-02-17T00:00:00.000000+0000,48.425
2022-02-18T00:00:00.000000+0000,35.429
2022-02-19T00:00:00.000000+0000,27.461
2022-02-20T00:00:00.000000+0000,20.322
2022-02-21T00:00:00.000000+0000,19.929
2022-02-22T00:00:00.000000+0000,20.525
2022-02-23T00:00:00.000000+0000,46.547
2022-02-24T00:00:00.000000+0000,75.568
2022-02-25T00:00:00.000000+0000,107.990
2022-02-26T00:00:00.000000+0000,131.874
2022-02-27T00:00:00.000000+0000,123.351
2022-02-28T00:00:00.000000+0000,96.035
2022-03-01T00:00:00.000000+0000,58.971
2022-03-02T00:00:00.000000+0000,40.629
2022-03-03T00:00:00.000000+0000,31.456
2022-03-04T00:00:00.000000+0000,23.128
2022-03-05T00:00:00.000000+0000,16.355
2022-03-06T00:00:00.000000+0000,11.759
2022-03-07T00:00:00.000000+0000,45.298
2022-03-08T00:00:00.000000+0000,66.900
2022-03-09T00:00:00.000000+0000,97.834
2022-03-10T00:00:00.000000+0000,147.920
2022-03-11T00:00:00.000000+0000,144.178
2022-03-12T00:00:00.000000+0000,117.239
2022-03-13T00:00:00.000000+0000,72.031
2022-03-14T00:00:00.000000+0000,46.410
2022-03-15T00:00:00.000000+0000,35.997
2022-03-16T00:00:00.000000+0000,26.483
2022-03-17T00:00:00.000000+0000,23.735
2022-03-18T00:00:00.000000+0000,38.618
2022-03-19T00:00:00.000000+0000,47.731
2022-03-20T00:00:00.000000+0000,83.803
2022-03-21T00:00:00.000000+0000,86.305
2022-03-22T00:00:00.000000+0000,104.255
2022-03-23T00:00:00.000000+0000,121.860
2022-03-24T00:00:00.000000+0000,87.033
2022-03-25T00:00:00.000000+0000,52.120
2022-03-26T00:00:00.000000+0000,37.921
2022-03-27T00:00:00.000000+0000,29.940
2022-03-28T00:00:00.000000+0000,22.622
2022-03-29T00:00:00.000000+0000,23.385
2022-03-30T00:00:00.000000+0000,36.299
2022-03-31T00:00:00.000000+0000,55.321
2022-04-01T00:00:00.000000+0000,66.395
2022-04-02T00:00:00.000000+0000,82.839
2022-04-03T00:00:00.000000+0000,126.567
2022-04-04T00:00:00.000000+0000,130.189
2022-04-05T00:00:00.000000+0000,110.246
